		Mus musculus	Mus musculus	Mus musculus	Mus musculus	Danio rerio	Danio rerio	Danio rerio	Danio rerio	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oryzias latipes	Oncorhynchus mykiss	Oncorhynchus mykiss	Oncorhynchus mykiss	Oncorhynchus mykiss	Malawi cichlids	Malawi cichlids	Malawi cichlids	Malawi cichlids	Salmo salar	Salmo salar	Salmo salar	Salmo salar
		(molars)	(molars)	(molars)	(molars)	(pharyngeal teeth)	(pharyngeal teeth)	(pharyngeal teeth)	(pharyngeal teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(pharyngeal teeth)	(pharyngeal teeth)	(pharyngeal teeth)	(pharyngeal teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)	(oral teeth)
		Initiation	Cap	Bell	Late-bell	EM	LM	ED	LD	EM	LM	ED	LD	EM	LM	ED	LD	EM	LM	ED	LD	EM	LM	ED	LD	EM	LM	ED	LD
		& bud																											
Shh	E	[5, 11, 8]	[5, 11, 8]	[5]	[5]	[31]	[33]	[33]	[33]									[25, 22]	[25]	[25, 22]	[25, 22]	-[32]	[30,32]	[30,32]	[30,32]				
	M	-	-	-	-	-	-	-	-									-	-	[25, 22]	[25, 22]	-[32]	-	[30,32]	[30,32]				
Fgf3	E	[16]	[16]	-	-		[23]																[32]		[32]				
	M	[16]	[16]	[16]	[16]		-																[32]		[32]				
Fgf8	E	-[15]	-[15]	-[15]	-[15]	-[23]	-[23]	-[23]	-[23]																				
	M	-[15]	-[15]	-[15]	-[15]	-[23]	-[23]	-[23]	-[23]																				
Fgf10	E	-	-	-	-																	[32]		[32]	-				
	M	[16]	[16]	[16]	[16]																	[32]		[32]	[32]				
Fgfr1	E	-	[14]	[14]	[14]																								
	M	[14]	[14]	[14]	[14]																								
Fgfr2	E	[14]	[14]	[14]	[14]																								
	M	[14]	[14]	[14]	-																								
Ptc2	E					[31]																							
	M					[31]																							
Midkine	E	[7, 6]	-	[6]	[6]																								
	M	[7, 6]	[6]	[6]	[6]																								
Bmp4	E	-	[15, 8]	[3, 5]	[9, 13]	-[27]	[27]	[27]	[27]					[27]	-			-	-	-	-	[32]		[32]	[32]		[34]	[34]	-
	M	[3, 9, 8]	[15, 8]	[3, 5]	[9, 13]	-[27]	-	[27]	[27]					[27]	[27]			[22]	[22]	[22]	[22]	[32]		[32]	[32]		[34]	[34]	[34]
Lef1	E	[13]	[13]	[13]	[13]																	[32]			[32]				
	M	[13]	[13]	[13]	[13]																	[32]			[32]				
?-cat	E																					[32]							
	M																					[32]							
Eda	E	[20]	[20, 18]	[18, 20]																									
	M	-	-	-																									
Edar	E	[20, 18]	[20, 18]	[20, 18]																									
	M	-	-	-																									
Gli2	E	[11]	[11]																										
	M	[11]	[11]																										
Dlx1	E	-[19]	-	-	-	-[24]	-[24]	-[24]	-[24]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]												
	M	-[19]	[19]	[19]	[19]	-[24]	-[24]	-[24]	-[24]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]												
Dlx2 (dlx2a)	E	[19]	-	-	[19]	[24]	[24]	[24]	-	-	-	-	-[29]	-	-	-	-[29]						[32]		-				
	M	[19]	[19]	[19]	-	[24]	[24]	[24]	[24]	[29]	[29]	[29]	-[29]	[29]	[29]	[29]	-[29]						[32]		[32]				
Dlx2b	E					[23, 24]	[23, 24]	[24]	[24]	loss [29]																			
	M					-	[23, 24]	[24]	[24]																				
Dlx3a	E					loss [29]				-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]												
	M									-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]	-[29]												
Dlx3 (dlx3b)	E	[19†]	-	-	-	[24]	[24]	[24]	[24]	[29]	[29]	[29]	[29]	[29]	[29]	[29]	[29]												
	M	[4†]	[19, 4]	[19]	[19]	-	[24]	-	-	[29]	[29]	[29]	[29]	[29]	[29]	[29]	[29]												
Dlx4a	E					-[24]	[24]	[24]	[24]	loss [29]																			
	M					-[24]	[24]	[24]	[24]																				
Dlx4 (dlx4b)	E	-[24]	-	-	-	[24]	[24]	[24]	[24]	-[29]	-[29]	-	-	-[29]	-[29]	-	-												
	M	-[24]	[24]	[24]	[24]	[24]	[24]	-	[24]	-[29]	-[29]	[29]	[29]	-[29]	-[29]	[29]	[29]												
Dlx5	E	-[19]	-	-	-	[24]	[24]	[24]	[24]	[29]	[29]	[29]	[29]	-	-	[29]	[29]												
	M	-[19]	[19]	[19]	[19]	-	[24]	[24]	[24]	[29]	[29]	[29]	[29]	[29]	[29]	[29]	[29]												
Dlx6	E	-[19]	-[19]	-[19]	[19]	-[24]	-[24]	-[24]	-[24]	-[29]	-[29]	-	-	-[29]	-[29]	-	-												
	M	-[19]	-[19]	-[19]	[19]	-[24]	-[24]	-[24]	-[24]	-[29]	-[29]	[29]	[29]	-[29]	-[29]	[29]	[29]												
Msx1	E	-	-	-	-																								
	M	[15, 13]	[15]	[13]	[15]																								
Msx2	E	[15]	[15, 12]	[13]	[15]																								
	M	[15]	-	[13]	[15]																								
Msx3	E																												
	M																												
Pitx1	E	[17]	[17]		[17]																								
	M	[17]	-		-																								
Pitx2	E	[17]	[17]		[17]	[23]	[23]											[25, 26]	[22, 26]	[22, 26]	[25]	[32]	-	[32]	[30]				
	M	-	-		-	-	-											-	-	-	[25]	-	-	-	-				
Pitx3	E																												
	M																												
Sox2	E																					-[32]		[32]					
	M																					-[32]		-					
Pax9	E	-	-			-[23]	-[23]	-[23]	-[23]									-[25, 28]	-[25, 28]	-[25, 28]	-[25, 28]								
	M	[21, 10]	[21]			-[23]	-[23]	-[23]	-[23]									-[25, 28]	-[25, 28]	-[25, 28]	-[25, 28]								
Col1a1	E			-	-																								
	M			[2]	[2]																								
Col1a2	E																												
	M																												
Col2a1	E																												
	M																												
SPARC	E				[1]																								
	M				[1]																								
SPARC-L	E																												
	M																												
